datetime_utc,distance_au,velocity_km_s,designation,name,diameter_km,potentially_hazardous
2020-04-29 09:56,0.042048495605758,8.70158478774505,52768,,1.75,True
2021-08-21 15:10,0.0229087451841724,26.1689499487946,2016 AJ193,,1.374,True
2022-01-18 21:51,0.0132450682865172,19.5554650265091,7482,,1.052,True
2022-05-03 21:52,0.0783164078780334,8.95863670553399,175706,,1.196,True
2022-05-27 14:26,0.0269035817292935,13.1155554471715,7335,,1.8,True
2022-09-01 06:54,0.0575388878990113,14.2880385876657,161989,Cacus,1.9,True
2023-11-02 15:49,0.0351109377618349,7.97055963346177,363505,,1.876,True
2023-11-03 12:33,0.0593578641871148,23.250999941534,164121,,1.717,True
2024-11-05 19:47,0.0888430307218586,11.5296599364224,66146,,2.864,False
2025-01-08 13:40,0.0821976075876292,8.24870181303574,887,Alinda,4.2,False
2025-03-09 22:19,0.0776307636842333,34.0797595729424,66008,,1.484,False
2025-05-15 18:35,0.0704617233470778,22.939385636891,154276,,1.06,True
2025-12-24 22:21,0.05319735033683,28.5413142081758,488789,,1.039,True
2026-08-26 16:35,0.0902866044102394,11.3080458521096,66146,,2.864,False
2026-11-28 02:47,0.0707661979541355,17.7093402689082,217628,Lugh,1.4,True
2027-04-17 18:37,0.0649219319920102,16.3823403665158,144901,,2.24,False
2028-09-10 00:20,0.0967113894564696,17.9688867990776,9856,,1.0,True
2029-07-15 18:05,0.047126681855635,23.2854082576645,242450,,2.914,True
2029-12-08 14:39,0.0988401066717275,18.1819152170504,5731,Zeus,5.231,False
